Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20210127|ECH|25666|0|194486|B,Q,N
20210127|ECHO|31548|0|55926|Q,N
20210127|ECL|191333|1231|308998|B,Q,N
20210127|ECLN|503|0|1045|Q
20210127|ECNS|1168|0|28191|Q,N
20210127|ECOL|17890|0|29330|Q,N
20210127|ECOLW|291|0|291|Q
20210127|ECOM|35444|0|184346|Q,N
20210127|ECON|7338|400|14321|Q
20210127|ECOR|758096|22005|2612178|B,Q,N
20210127|ECOW|208|0|214|Q
20210127|ECOZ|316|0|562|Q
20210127|ECPG|61656|0|186484|B,Q,N
20210127|ED|800405|1340|1853436|B,Q,N
20210127|EDAP|34053|600|101234|B,Q,N
20210127|EDC|22511|2252|144350|B,Q,N
20210127|EDD|42651|0|164799|Q,N
20210127|EDEN|2179|0|9540|B,Q,N
20210127|EDF|32223|1598|47341|Q,N
20210127|EDI|5897|0|27286|Q,N
20210127|EDIT|613229|11288|1675574|B,Q,N
20210127|EDIV|7602|0|29001|Q,N
20210127|EDN|10859|4400|15058|B,Q,N
20210127|EDOC|90423|23390|218669|B,Q,N
20210127|EDOG|205|0|865|Q,N
20210127|EDOW|4823|1576|12605|Q,N
20210127|EDRY|2145|0|9925|B,Q
20210127|EDSA|252285|19060|520476|B,Q,N
20210127|EDTK|9230|0|58127|B,Q,N
20210127|EDTXU|773|0|133828|Q
20210127|EDU|81442|0|230701|B,Q,N
20210127|EDUC|9599|0|17237|Q,N
20210127|EDUT|1619|0|2618|Q,N
20210127|EDV|45611|0|94507|B,Q,N
20210127|EDZ|70802|1608|129865|B,Q,N
20210127|EEA|10211|3400|16292|Q,N
20210127|EEFT|96550|135|181893|Q,N
20210127|EELV|3027|0|13547|Q,N
20210127|EEM|5310412|1180|7576814|B,Q,N
20210127|EEMA|105790|0|129738|B,Q,N
20210127|EEMD|7755|0|7759|Q,N
20210127|EEMO|2800|0|4855|Q
20210127|EEMS|24590|0|27223|Q,N
20210127|EEMV|14977|0|214000|Q,N
20210127|EEMX|800|0|1377|Q,N
20210127|EES|1251|0|16258|Q
20210127|EET|2832|103|38153|Q,N
20210127|EEV|8453|200|17270|B,Q,N
20210127|EEX|51134|0|60636|Q,N
